10000 39402
1706 1707 67.69
6173 6272 245.06
4098 4198 162.70
5221 5222 207.24
2551 2652 101.28
3054 3155 121.25
328 429 13.02
2723 2823 108.09
3055 3056 121.26
7680 7779 304.89
6263 6264 248.62
9760 9861 387.48
9185 9284 364.64
2408 2509 95.59
1481 1580 58.79
231 331 9.16
8593 8694 341.16
9094 9095 361.02
546 647 21.68
4098 4199 162.71
6452 6553 256.15
3912 4012 155.29
4453 4552 176.77
2022 2121 80.25
8584 8684 340.79
7418 7517 294.47
3551 3650 140.96
1876 1975 74.47
1936 2037 76.86
8000 8099 317.59
8150 8250 323.55
3506 3605 139.16
4106 4107 162.97
9187 9188 364.71
4224 4225 167.66
8968 9068 356.03
5119 5219 203.21
60 61 2.36
5517 5617 219.01
55 156 2.19
9519 9520 377.87
2219 2220 88.06
5973 6073 237.13
305 405 12.09
8068 8167 320.29
9591 9691 380.77
3812 3913 151.33
3024 3125 120.05
2594 2595 102.97
8429 8529 334.62
7518 7618 298.45
5308 5409 210.72
7504 7603 297.88
3816 3916 151.48
9023 9024 358.18
9543 9643 378.85
7618 7718 302.42
9848 9947 390.95
9571 9670 379.96
3715 3716 147.45
7153 7254 283.98
7856 7857 311.86
3698 3797 146.81
5729 5829 227.43
1305 1404 51.78
450 451 17.84
6541 6542 259.65
2402 2403 95.32
9523 9623 378.05
6999 7100 277.88
4011 4112 159.23
1909 1910 75.75
1210 1309 48.01
7803 7804 309.74
2156 2256 85.59
4182 4183 166.01
1304 1405 51.76
2370 2469 94.08
2470 2569 98.05
9305 9306 369.37
7809 7909 310.00
4842 4843 192.20
8570 8670 340.23
3816 3915 151.47
2212 2311 87.79
9675 9776 384.11
7790 7890 309.27
3751 3851 148.91
6060 6161 240.59
4047 4148 160.67
5392 5393 214.05
3519 3619 139.69
2350 2450 93.29
6819 6920 270.71
3860 3959 153.23
207 308 8.21
3032 3133 120.37
1270 1369 50.41
7405 7506 293.97
9521 9522 377.95
3542 3643 140.62
4326 4425 171.72
2511 2611 99.67
8091 8190 321.21
1384 1385 54.93
6214 6313 246.67
4119 4218 163.50
4901 4902 194.54
3471 3571 137.80
139 239 5.51
4181 4280 165.98
3204 3304 127.18
105 106 4.13
7848 7849 311.54
5966 6065 236.84
4374 4475 173.66
2185 2285 86.75
8486 8586 336.90
5870 5970 233.04
9768 9769 387.77
2291 2292 90.94
315 416 12.50
2248 2249 89.22
8306 8407 329.74
2041 2141 81.02
6188 6287 245.66
1377 1476 54.66
8589 8689 340.99
3528 3628 140.05
8865 8966 351.95
5731 5831 227.51
1413 1512 56.07
418 519 16.59
205 305 8.12
4308 4309 170.99
957 958 37.97
3308 3407 131.30
6972 7073 276.80
8982 9083 356.60
8379 8480 332.66
2212 2313 87.81
9204 9304 365.38
1726 1825 68.50
6912 7013 274.40
9863 9964 391.57
1759 1760 69.81
5614 5713 222.85
9564 9665 379.70
5710 5809 226.66
1040 1140 41.28
8097 8196 321.45
8556 8657 339.68
7266 7367 288.47
3415 3416 135.54
5809 5909 230.60
3351 3450 133.02
892 992 35.42
1795 1894 71.26
548 647 21.74
6512 6613 258.52
2525 2625 100.23
5668 5768 225.02
9826 9927 390.09
3138 3238 124.57
5388 5389 213.89
9059 9160 359.65
6607 6706 262.27
1017 1116 40.35
8737 8738 346.83
5688 5689 225.80
4046 4147 160.63
4407 4506 174.93
234 333 9.27
5390 5489 213.98
983 1082 39.02
6171 6271 244.99
3020 3120 119.88
5698 5797 226.21
2371 2372 94.11
2039 2140 80.95
3134 3235 124.42
4572 4672 181.51
5483 5582 217.67
6913 7012 274.42
8699 8798 345.35
1506 1507 59.75
2620 2721 104.01
4035 4136 160.19
4545 4546 180.41
349 350 13.83
3317 3416 131.66
1019 1118 40.43
5114 5214 203.01
5952 5953 236.27
1238 1339 49.15
1857 1956 73.71
8408 8507 333.77
7303 7402 289.90
5115 5214 203.04
2754 2854 109.33
9166 9267 363.90
4513 4514 179.13
868 869 34.44
5125 5126 203.43
74 175 2.95
6448 6549 255.99
296 396 11.76
264 265 10.46
4863 4963 193.06
5778 5877 229.38
8588 8687 340.94
6433 6533 255.38
3175 3176 126.03
2219 2318 88.07
6121 6222 243.00
5644 5744 224.06
1069 1168 42.43
1395 1396 55.37
460 461 18.24
448 449 17.76
6905 6906 274.09
1195 1294 47.44
3634 3734 144.26
2151 2152 85.37
4002 4101 158.85
3149 3248 125.00
2754 2855 109.34
587 687 23.31
5543 5544 220.03
1100 1200 43.67
1651 1750 65.53
320 420 12.69
6569 6670 260.80
8295 8396 329.33
9852 9853 391.10
2743 2842 108.88
5737 5838 227.76
927 928 36.77
4842 4943 192.23
5619 5718 223.05
8446 8447 335.28
2595 2696 103.04
9357 9456 371.46
165 264 6.54
4865 4866 193.12
7851 7952 311.69
7356 7455 292.02
1033 1134 41.01
145 146 5.73
2167 2168 86.01
1716 1816 68.11
8022 8123 318.47
4540 4639 180.22
2784 2883 110.52
5181 5280 205.68
1885 1886 74.82
7922 8022 314.49
9049 9150 359.25
3237 3238 128.48
2690 2790 106.80
1765 1865 70.07
5264 5265 208.96
3716 3816 147.51
3625 3626 143.88
9003 9103 357.40
3355 3456 133.20
4928 5027 195.62
5562 5662 220.81
3325 3424 131.98
5659 5758 224.65
5923 6023 235.13
8557 8658 339.72
9676 9677 384.12
744 844 29.53
2964 3064 117.67
9590 9690 380.73
9698 9799 385.03
6194 6294 245.91
4144 4145 164.49
9672 9771 383.97
4815 4915 191.14
7520 7621 298.54
7422 7522 294.64
2616 2617 103.82
1148 1149 45.55
5595 5596 222.11
4534 4633 179.98
2196 2296 87.19
6954 7055 276.08
59 158 2.33
7420 7421 294.54
3086 3186 122.52
7486 7585 297.19
78 178 3.10
7550 7650 299.73
629 728 24.95
998 1098 39.63
5510 5609 218.72
476 576 18.90
5325 5426 211.40
9051 9052 359.30
8874 8975 352.31
5915 6014 234.80
9853 9952 391.15
9381 9481 372.43
3282 3381 130.29
1540 1640 61.13
6275 6276 249.10
8254 8354 327.68
3395 3496 134.80
388 389 15.39
7499 7600 297.73
210 311 8.33
537 636 21.30
3564 3664 141.49
765 864 30.36
3205 3306 127.23
8507 8608 337.72
5582 5681 221.60
113 212 4.46
7559 7560 300.07
304 403 12.04
852 853 33.80
1122 1223 44.54
7977 8076 316.68
5086 5185 201.91
4020 4121 159.59
5632 5732 223.58
1047 1147 41.56
9162 9262 363.73
3501 3602 138.98
4829 4830 191.68
944 1045 37.48
3613 3713 143.42
933 1033 37.03
695 795 27.60
9228 9328 366.34
3115 3215 123.65
9327 9328 370.25
3015 3114 119.67
9819 9920 389.81
8219 8319 326.28
8941 9042 354.96
5007 5008 198.74
9276 9375 368.25
261 262 10.34
6996 7095 277.74
9580 9680 380.33
7604 7703 301.85
21 122 0.83
4438 4439 176.16
9238 9337 366.73
3243 3343 128.74
3126 3225 124.08
859 960 34.11
6760 6860 268.37
2294 2393 91.07
284 285 11.26
5339 5340 211.93
7896 7897 313.46
4796 4897 190.42
5083 5183 201.80
9545 9546 378.91
9407 9507 373.44
9789 9790 388.61
8591 8592 341.05
196 197 7.77
379 479 15.05
421 520 16.69
3965 4066 157.42
6281 6382 249.37
5695 5794 226.09
7506 7605 297.96
5615 5714 222.89
9269 9369 367.98
3770 3869 149.66
7578 7678 300.85
1745 1844 69.26
752 853 29.86
1567 1667 62.21
1351 1452 53.64
3530 3630 140.13
1239 1340 49.19
9867 9968 391.73
5167 5268 205.14
6020 6121 238.99
9328 9429 370.32
8788 8887 348.88
1628 1629 64.60
1349 1448 53.54
1433 1534 56.89
7661 7760 304.13
7257 7356 288.09
4927 5028 195.60
5543 5643 220.05
1651 1751 65.54
4682 4683 185.86
3643 3743 144.62
6661 6760 264.43
8693 8794 345.13
2491 2592 98.91
5124 5225 203.42
242 341 9.59
8228 8327 326.63
9736 9835 386.50
6730 6831 267.18
7270 7371 288.63
120 221 4.76
1193 1293 47.37
3309 3410 131.36
2776 2777 110.19
4533 4634 179.96
1706 1805 67.70
3977 4077 157.89
8587 8588 340.89
380 381 15.07
3935 4036 156.22
925 1025 36.71
9751 9752 387.09
9565 9664 379.72
9966 9967 393.69
8296 8297 329.34
8475 8576 336.47
6106 6205 242.38
6967 6968 276.57
1095 1194 43.47
2606 2707 103.45
7646 7647 303.52
2632 2731 104.47
1053 1054 41.78
864 963 34.29
4492 4493 178.32
4530 4531 179.81
2246 2346 89.16
4713 4814 187.10
6147 6148 244.01
2764 2864 109.73
6568 6667 260.74
1947 2047 77.29
4939 5039 196.07
827 926 32.81
7653 7654 303.80
1471 1571 58.40
7148 7249 283.78
3478 3577 138.07
7005 7106 278.09
2830 2831 112.32
9752 9851 387.14
2893 2993 114.86
4132 4231 164.02
3195 3196 126.83
2217 2218 87.98
5870 5971 233.05
7372 7471 292.66
6002 6101 238.25
6152 6253 244.24
4178 4179 165.85
4909 4910 194.85
795 896 31.58
4860 4959 192.93
7354 7454 291.95
5177 5178 205.51
8383 8384 332.79
5289 5390 209.99
3012 3113 119.57
5262 5263 208.88
6851 6951 271.98
2353 2452 93.40
7549 7649 299.69
3545 3645 140.73
5058 5157 200.79
4536 4635 180.06
3170 3270 125.85
8064 8065 320.12
5550 5651 220.34
2180 2280 86.55
7772 7773 308.53
1209 1210 47.96
1062 1063 42.14
6007 6106 238.45
549 650 21.80
5897 5996 234.11
1137 1238 45.14
8838 8939 350.87
7134 7233 283.20
7490 7591 297.37
9170 9270 364.05
1948 2048 77.33
2862 2863 113.60
6386 6387 253.51
2732 2733 108.43
8212 8213 325.98
7395 7495 293.59
2288 2389 90.85
6606 6707 262.25
5077 5178 201.57
2118 2119 84.05
3562 3662 141.41
4518 4619 179.36
3247 3248 128.88
7334 7335 291.13
5306 5307 210.61
1165 1264 46.24
5976 5977 237.23
7513 7614 298.26
4714 4715 187.11
3448 3547 136.87
6836 6937 271.39
5753 5854 228.40
5319 5418 211.14
242 343 9.61
