55 1512
A0 47 33
B1 39 46
C2 42 52
D3 32 58
E4 43 63
F5 33 23
G6 49 63
H7 39 39
I8 30 39
J9 34 45
K0 33 55
L1 39 46
M2 49 38
N3 41 25
O4 39 64
P5 37 47
Q6 43 29
R7 35 37
S8 51 17
T9 50 62
U0 46 51
V1 37 65
W2 51 62
X3 47 55
Y4 28 30
Z5 51 14
A6 27 62
B7 52 28
C8 53 62
D9 53 56
E0 53 28
F1 32 21
G2 49 41
H3 35 13
I4 43 50
J5 28 59
K6 28 58
L7 44 59
M8 49 18
N9 49 64
O0 27 26
P1 31 31
Q2 49 14
R3 44 64
S4 32 44
T5 27 55
U6 48 44
V7 40 28
W8 30 32
X9 31 41
Y0 48 38
Z1 49 28
A2 31 46
B3 44 59
C4 33 13
